asset_path,kind,sha256,bytes,mime_type,pixel_dimensions,semantic_status,display_status,intended_placement,alt,caption,open_larger_path,provenance,source_boundary
assets/programmable-light-hero.png,hero,DD38855FC71ED87F29F106CA939A22D29B85985F1910DB0BD622351EAA021C03,2295725,image/png,1536x1024,PASS,displayed,Project landing hero,"Glowing clear-acrylic programmable light in a pine base on a school workshop bench, with a controller board and LED strip nearby.","An illustrative programmable-light prototype brings timber, acrylic, electronics and light into one calm workshop scene.",assets/programmable-light-hero.png,Signed-in ChatGPT conversation https://chatgpt.com/c/6a71e7fe-1938-83ec-a539-be941bcac652; hero prompt; visually audited 2026-08-04.,"Illustrative teaching context only. It does not establish the final student design, authoritative plan geometry, stock sizes, joints, wiring, pins, power arrangement, code, settings, safe operating procedure, assessment result or completed student evidence."
assets/plans/programmable-lamp-drawing.pdf,authoritative plan,D43CD8789222B049592348C86CAC4CA3B1B5A00BDDBC07B2F191FE119D3F87E8,80646,application/pdf,,PASS,displayed,Displayed folio card 04 — Read the Programmable Lamp drawing; primary Open larger record,"Authoritative Programmable Lamp technical drawing by Josh McKenzie, dated 24 February 2025, with orthographic, detail and pictorial views.","Use the supplied drawing itself: read the written dimensions, identify the 1:2 and 1:1 scales, and follow the three labelled cut stages without measuring the screen.",assets/plans/programmable-lamp-drawing.pdf,"Authorised Google Drive folder 1KIGdTkwOtKBGXfO6qAfzaHNx3WFpHvZC; root Drive file ID 1I5PiH8vw7PerhH0PgMeWYkltm6z1rVNZ; exact 80,646-byte PDF copy.","Authoritative supplied drawing. Preserve its written dimensions, view scales and cut-order labels. The Notes field does not specify materials or tolerances; those and all missing practical details remain Teacher to confirm."
assets/plans/programmable-lamp-drawing.png,authoritative plan preview,43315B435F59E288B77ACF8DA04B24A7B5698A70AD08489155CE7EB536EC1131,158128,image/png,2200x1700,PASS,displayed,Displayed folio card 04 preview; theory 1.3 and 3.3 source,"Preview of the authoritative Programmable Lamp drawing showing dimensions, scales, detail views and three labelled cut stages.",Preview only. Open the supplied PDF for the full drawing and use its written dimensions rather than measuring this image.,assets/plans/programmable-lamp-drawing.pdf,Authorised Google Drive folder 1KIGdTkwOtKBGXfO6qAfzaHNx3WFpHvZC; root Drive file ID 1I5PiH8vw7PerhH0PgMeWYkltm6z1rVNZ; page 1 rendered at 200 dpi from the staged PDF.,"Authoritative supplied drawing. Preserve its written dimensions, view scales and cut-order labels. The Notes field does not specify materials or tolerances; those and all missing practical details remain Teacher to confirm."
assets/visuals/folio-card-01.png,folio visual,1B00CCAC28FBB8B4F299C8B3213B7C408021E2F0E67B0DFF0C93FA17BD10B209,2259467,image/png,1536x1024,PASS,displayed through final mapping,Displayed folio card 01 — Project purpose and success criteria,Student hands writing a personal goal beside an illustrative glowing programmable light.,"Begin the folio by defining success and recording one personal goal; the pictured work is illustrative, not student evidence.",assets/visuals/folio-card-01.png,Signed-in ChatGPT conversation https://chatgpt.com/c/6a71e7fe-1938-83ec-a539-be941bcac652; folio visual 01; generated one at a time and visually audited 2026-08-04.,"Illustrative teaching context only. It does not establish the final student design, authoritative plan geometry, stock sizes, joints, wiring, pins, power arrangement, code, settings, safe operating procedure, assessment result or completed student evidence."
assets/visuals/folio-card-02.png,folio visual,D0722CEB3CF7116A815297017B831CE5EE117D329543BE0131A3C80132F01E84,2286868,image/png,1536x1024,PASS,displayed through final mapping,Displayed folio card 08 — Selected design and justification,Student checking an illustrative lamp prototype against a blank checklist.,Use the agreed criteria to justify a selected design; the checklist is intentionally blank and supplies no invented threshold.,assets/visuals/folio-card-02.png,Signed-in ChatGPT conversation https://chatgpt.com/c/6a71e7fe-1938-83ec-a539-be941bcac652; folio visual 02; generated one at a time and visually audited 2026-08-04.,"Illustrative teaching context only. It does not establish the final student design, authoritative plan geometry, stock sizes, joints, wiring, pins, power arrangement, code, settings, safe operating procedure, assessment result or completed student evidence."
assets/visuals/folio-card-03.png,folio visual,34385D39CA22645E2669F25760EBD7B0D52F4DBA0CEB5FB6A4456BC7A819889A,3041185,image/png,1536x1024,PASS,displayed through final mapping,"Displayed folio card 02 — Tools, materials and components","Workshop flat lay with a saw, square, steel rule, soldering tools, pine, clear acrylic, controller board, LED strip, jumper leads and USB cable.","Identify each confirmed tool, material and component before practical work; exact use and sequence remain teacher controlled.",assets/visuals/folio-card-03.png,Signed-in ChatGPT conversation https://chatgpt.com/c/6a71e7fe-1938-83ec-a539-be941bcac652; folio visual 03; generated one at a time and visually audited 2026-08-04.,"Illustrative teaching context only. It does not establish the final student design, authoritative plan geometry, stock sizes, joints, wiring, pins, power arrangement, code, settings, safe operating procedure, assessment result or completed student evidence."
assets/visuals/folio-card-04.png,folio visual,3AC046B1CFE3CBEAF72C4A25EC0ED40F12173EE131CFE6E7C4B21D018462D4BA,2425110,image/png,1536x1024,PASS,displayed through final mapping,Displayed folio card 03 — Workshop safety and risk control,"Hands reviewing a blank pre-start sheet beside a switched-off disc sander, safety glasses, hearing protection and a dust mask.",Use the official SOP and teacher instruction to identify controls before work; this generated scene is not an operating procedure.,assets/visuals/folio-card-04.png,Signed-in ChatGPT conversation https://chatgpt.com/c/6a71e7fe-1938-83ec-a539-be941bcac652; folio visual 04; generated one at a time and visually audited 2026-08-04.,"Illustrative teaching context only. It does not establish the final student design, authoritative plan geometry, stock sizes, joints, wiring, pins, power arrangement, code, settings, safe operating procedure, assessment result or completed student evidence."
assets/visuals/folio-card-05.png,folio visual,C551361F08B241C36902B6975C97829AE5AC4897917AF4714343FDCCF4B4B299,2155427,image/png,1536x1024,PASS,displayed through final mapping,Displayed folio card 06 — Visual research with source attribution,Student comparing lamp reference images on a laptop while recording source notes in a notebook.,"Record creator, source, reuse status and design insight for every research image; the screen content is illustrative and unreadable.",assets/visuals/folio-card-05.png,Signed-in ChatGPT conversation https://chatgpt.com/c/6a71e7fe-1938-83ec-a539-be941bcac652; folio visual 05; generated one at a time and visually audited 2026-08-04.,"Illustrative teaching context only. It does not establish the final student design, authoritative plan geometry, stock sizes, joints, wiring, pins, power arrangement, code, settings, safe operating procedure, assessment result or completed student evidence."
assets/visuals/folio-card-06.png,folio visual,5382A83DE28E6DAB92F37DB2A454C96550791B1FB027EECAE5FCFC7AF436946A,2344576,image/png,1536x1024,PASS,retained spare; not displayed,Retained spare — not displayed under the final 10D folio contract,Exactly six separated pencil concepts for rectangular acrylic lamps arranged in two rows of three.,A coherent spare showing six genuinely different lamp ideas; retained for audit but not displayed in the final folio mapping.,assets/visuals/folio-card-06.png,Signed-in ChatGPT conversation https://chatgpt.com/c/6a71e7fe-1938-83ec-a539-be941bcac652; folio visual 06; generated one at a time and visually audited 2026-08-04.,"Illustrative teaching context only. It does not establish the final student design, authoritative plan geometry, stock sizes, joints, wiring, pins, power arrangement, code, settings, safe operating procedure, assessment result or completed student evidence."
assets/visuals/folio-card-07.png,folio visual,90C34BB5C9434FF9839B6201EA031EF71AF14A593FA54D13D387C87FA601AC92,2698112,image/png,1536x1024,PASS,displayed through final mapping,Displayed folio card 07 — Six lamp ideas,Refined programmable-light sketch surrounded by six smaller alternative lamp sketches and a small physical mock-up.,"Show breadth before selection: six alternatives surround a more developed concept, without claiming final dimensions or construction details.",assets/visuals/folio-card-07.png,Signed-in ChatGPT conversation https://chatgpt.com/c/6a71e7fe-1938-83ec-a539-be941bcac652; folio visual 07; generated one at a time and visually audited 2026-08-04.,"Illustrative teaching context only. It does not establish the final student design, authoritative plan geometry, stock sizes, joints, wiring, pins, power arrangement, code, settings, safe operating procedure, assessment result or completed student evidence."
